content,score,cleaned,label
belanja mudah dan cepat,5,belanja mudah cepat,positif
rekomendet,5,rekomendet,positif
fitur dalam aplikasi tidak sepenuhnya berjalan dengan sempurna,1,fitur aplikasi sepenuhnya berjalan sempurna,negatif
busuk ga bisa masuk akun,1,busuk ga masuk akun,negatif
respon cepat,5,respon cepat,positif
pelayanan prima,4,pelayanan prima,positif
cepat,4,cepat,positif
Nice Buat cridit HP,5,nice cridit hp,positif
"App bagus, semoga gw dan keluarga bahagia selalu",5,app bagus semoga gw keluarga bahagia,positif
masi mencoba,4,masi mencoba,positif
"Saya Beli Barang di Olshop karena Simpel Cepat dan yg pasti efesiensi waktu, Tp pas ketemu Toko yg Nakal CS_nya terasa kurang Responsif sehingga waktu yg seharusnya cepat jadi terhambat dgn penyelesaian sama CS_nya",5,beli barang olshop simpel cepat yg efesiensi tp pas ketemu toko yg nakal cs nya responsif yg cepat terhambat dgn penyelesaian cs nya,positif
ok,5,ok,positif
Tokopedia adalah tempat belanja yg tepat untuk kita,5,tokopedia belanja yg,positif
Alhamdulillah kita dapat lebih mudah mencari barang elektronik dan lainnya. Sehingga kebutuhan yg dibutuhkan dapat melengkapi serta menyempurnakan barang yg diservice (sesuai keburhan) hingga mencapai titik keberhasilan.,5,alhamdulillah mudah mencari barang elektronik kebutuhan yg dibutuhkan melengkapi menyempurnakan barang yg diservice sesuai keburhan mencapai titik keberhasilan,positif
mantap,5,mantap,positif
terimakasih Tokopedia,5,terimakasih tokopedia,positif
Entah mengapa tokped kini ngelag... Ku akan datang lagi meski ibumu melarang...😭😭😭😹🥰😋🙈,3,tokped ngelag ku ibumu melarang,netral
mantap sangat membatu,5,mantap membatu,positif
"Aplikasi Penipu, Ceckout dapat Cashback, saat pesanan selesai cashback tak diberikan dengan berbagai alasan.",1,aplikasi penipu ceckout cashback pesanan selesai cashback alasan,negatif
the best pokok na mah pelayanan terbaik,5,the best pokok na mah pelayanan terbaik,positif
"Aplikasi aneh, udah di update berkali kali, tapi gak terbaca.",1,aplikasi aneh udah update berkali kali gak terbaca,negatif
produk belum sampai,3,produk,netral
mudah cepat belanja online,5,mudah cepat belanja online,positif
fitur pencarian produk nya udah busuk banget sekarang...apalagi jika filternya diaktifin..malah tambah nggak bisa diarepin sama sekali...mau beli HP bisa2 entar munculnya malah BH ...😮‍💨 oalahh ped toped,1,fitur pencarian produk nya udah busuk banget filternya diaktifin nggak diarepin beli hp entar munculnya bh oalahh ped toped,negatif
"LEMOTT!!, Loading Produk aja Lama banget",2,lemott loading produk aja banget,negatif
Ok,5,ok,positif
mohon kembalikan status toko online atau tidak seperti kmrn. jd kita bisa tahu kapan status toko online terkahir seperti yg kmrn.,5,mohon kembalikan status toko online kmrn jd status toko online terkahir yg kmrn,positif
tolong dong toko yg sudah gak aktif dihapus saja kak,5,tolong toko yg gak aktif dihapus kak,positif
mantappp,5,mantappp,positif
terpercaya dan gk ribet . semoga semakin lebih solid,5,terpercaya gk ribet semoga solid,positif
bagus,5,bagus,positif
mudah di dapat,5,mudah,positif
belanja online lebih memudakanebih praktisdan impel,5,belanja online memudakanebih praktisdan impel,positif
"lebih gampang,dan lebih baik",5,gampang,positif
ok,5,ok,positif
"Ini apk tokopedia minta trs di update. Udah di update minta lagi... capek gw nge up trs,udah 2 kali gw update ini apk dlm 2 bulan. ini yg ke 3 kali nya update.... baru bulan juni kemarin di update, dekarng minta update lagi. gila gila ini apl",1,apk tokopedia trs update udah update capek gw nge up trs udah kali gw update apk dlm yg kali nya update juni kemarin update dekarng update gila gila apl,negatif
proses pengiriman barang sekarang lama sekali Jkt kendari 2 minggu barang blm sampai. Dulu malah cepat kok Tokopedia skr begini ya... kalau seperti ini akan banyak yg pindah aplikasi.,2,proses pengiriman barang jkt kendari minggu barang blm cepat tokopedia skr ya yg pindah aplikasi,negatif
"rusak Tokopedia semenjak ada titok gak jelas banyak beralih ke toko sebelah semua,,, tokobesar aja banyak pensiun dari Tokopedia.. padahal ini Tokopedia paling bagus jadi hancur",1,rusak tokopedia semenjak titok gak beralih toko sebelah tokobesar aja pensiun tokopedia tokopedia bagus hancur,negatif
👍,4,,positif
keren,5,keren,positif
ok,5,ok,positif
murah,5,murah,positif
mudah difahami & caranya simple,5,mudah difahami simple,positif
Terima kasih bagus,5,terima kasih bagus,positif
Ok,5,ok,positif
saya menggunakan aplikasi ini memng sangat ok.. trimaksih TOKOPEDIA,5,aplikasi memng ok trimaksih tokopedia,positif
tokopedia memang jos,5,tokopedia jos,positif
ok good,5,ok good,positif
Sangat membantu dalam mencari barang penting dengan harga terjangkau. maju terus Tokopedia Indonesia 😁👍,5,membantu mencari barang harga terjangkau maju tokopedia indonesia,positif
☺👍,5,,positif
"saya top up saldo tokopedia tapi saldo nya gak masuk sama sekali, padahal top up transaksinya udah berhasil",1,top up saldo tokopedia saldo nya gak masuk top up transaksinya udah berhasil,negatif
"makan tu bintang 1, update trus cok",1,makan tu bintang update trus cok,negatif
terimakasih dengan tokped memudahkan saya bebelanja,5,terimakasih tokped memudahkan bebelanja,positif
jos mantap.. pokoknya Tokopedia joss,5,jos mantap pokoknya tokopedia joss,positif
"gabung sama tiktok jadi jelek 👎. balikin ux yang dulu, jangan gabung sama tiktok lagi",1,gabung tiktok jelek balikin ux gabung tiktok,negatif
is the best,5,is the best,positif
terbaik,5,terbaik,positif
semoga berhasil dan selalu sukses untuk bermanfaat buat kita semuanya Amin ya Allah SWT,5,semoga berhasil sukses bermanfaat amin ya allah swt,positif
Good beneerr,5,good beneerr,positif
bagus untuk belanja,5,bagus belanja,positif
"Kalau dilazada bisa bayar pakai gopay,OVO,Qris dan kalau di toped malah gak bisa bayar pakai DANA,hanya gopay saja jadi menurutku via pembayarannya kurang lengkap,tolong dilengkapi lagi agar mudah dalam bertransaksi,thanks happy topper.",5,dilazada bayar pakai gopay ovo qris toped gak bayar pakai dana gopay menurutku via pembayarannya lengkap tolong dilengkapi mudah bertransaksi thanks happy topper,positif
trimakasih suportnya smoga bisa tambah baik lg prestasinya,5,trimakasih suportnya smoga lg prestasinya,positif
jossdd,5,jossdd,positif
"harus diperhatikan seler seler modusnya bilang barang ready begitu pesan, bukan barang dalam proses tapi menunggu kurir sampai berhari hari nunggunya dari tanggal pesanan, supaya buyer ngak bisa cancell kalo kelamaan l, kurir jd kambing hitam.",2,diperhatikan seler seler modusnya bilang barang ready pesan barang proses menunggu kurir berhari nunggunya tanggal pesanan buyer ngak cancell kalo l kurir jd kambing hitam,negatif
kenapa ini Tokopedia delai lama banget.. saya pesan instan 3 jam udah 2 hari masih belom update..,1,tokopedia delai banget pesan instan jam udah belom update,negatif
Bagus dan lumayan membantu,4,bagus lumayan membantu,positif
maksa banget suruh update,1,maksa banget suruh update,negatif
bintang yg bicara lah selama ini saya belanja ga ada masalah sih cukup puas lah,5,bintang yg bicara belanja ga sih puas,positif
"apalah katanya kode verifikasi di kirim ke email,mana?g masuk² tu kode,udh Berjam jam saya coba g masuk², tolong perbaiki lagi aplikasi nya",1,apalah kode verifikasi kirim email g masuk tu kode udh berjam jam coba g masuk tolong perbaiki aplikasi nya,negatif
"sekarang mau chat cs tokopedia susah ya tidak seperti dulu saya punya kendala dengan paket saya ""yg di retur oleh kurir"" dan saya tidak bisa mengajukan komplain dan paket saya di antar oleh kurir antar aja saya suda menghubungi cs antar aja tapi saya merasa lucu dengan paket saya yg di retur oleh kurir ke penjual nya yg alasan nya tidak di jelaskan 😑",1,chat cs tokopedia susah ya kendala paket yg retur kurir mengajukan komplain paket kurir aja suda menghubungi cs aja lucu paket yg retur kurir penjual nya yg alasan nya,negatif
ga bisa masuk,1,ga masuk,negatif
"makin sini makin lemot, error mlulu.. smapah!",2,lemot error mlulu smapah,negatif
aplikasi sering ngelek,1,aplikasi ngelek,negatif
baik,4,,positif
bagus,5,bagus,positif
"gak jelas, toko saya tau_tau dapat notifikasi atas pelanggaran yang tidak pernah terjadi",1,gak toko tau tau notifikasi pelanggaran,negatif
ok pertahankan,5,ok pertahankan,positif
best apk paling bagus mudah nyaman dan banyak fitur menarik salah satunya tokped card cara pengajuan mudah dan dapat cashback pulang,5,best apk bagus mudah nyaman fitur menarik salah satunya tokped card pengajuan mudah cashback pulang,positif
pengiriman ya lambat. toko ya chat aktif. tapi tidak di balas. dalam proses jangka estimasi lewat dari tanggal di tentukan,1,pengiriman ya lambat toko ya chat aktif balas proses jangka estimasi tanggal tentukan,negatif
pakai paylater memudahkan bli2 barang n trimakasi toko pedia,5,pakai paylater memudahkan bli barang n trimakasi toko pedia,positif
emejing,5,emejing,positif
"Bagus Bagus dan terpercaya Bagus dan terpercaya,",5,bagus bagus terpercaya bagus terpercaya,positif
bagus pelayanan nya,5,bagus pelayanan nya,positif
"sudah bonus gak bisa dipakai di semua toko, kadaluarsa nya cepat lagi. sungguh keterlaluan.",1,bonus gak dipakai toko kadaluarsa nya cepat sungguh,negatif
gg bang,5,gg bang,positif
asyik dan menyenangkan,5,asyik menyenangkan,positif
smoga semakin bermanfaat bagi msyarakat indonesia. Amin,5,smoga bermanfaat msyarakat indonesia amin,positif
belanja mudah,2,belanja mudah,negatif
banyak penjual yg masih pasang di etalase barangnya tidak ada,3,penjual yg pasang etalase barangnya,netral
proses installnya kurang lama,1,proses installnya,negatif
"estimasi pengiriman 3-4 juli,,tp sampai tgl 7 barang belum sampai,ajukan komplain,tp msh disuruh tunggu 3 hari chat CS slow respon,,gk kaya dulu satu set pelayanan pelanggan 0%",1,estimasi pengiriman juli tp tgl barang ajukan komplain tp msh disuruh tunggu chat cs slow respon gk kaya set pelayanan pelanggan,negatif
"maaf, bukan maksud saya menjelekan tetapi, promo promonya kurang gencar seperti tahun tahun kemarin jadi kurasa masih belum bisa menyaingi online shop sebelah🙏. jadi aku kasih bintang 5 agar lebih semangat lagi buat menjadi yang terbaik, hehe. mari sesuaikan dengan 'pelanggan nomer satu', ini dukunganku😁.",5,maaf maksud menjelekan promo promonya gencar kemarin kurasa menyaingi online shop sebelah kasih bintang semangat terbaik hehe mari sesuaikan pelanggan nomer dukunganku,positif
barang-barangnya bagus,5,barang barangnya bagus,positif
pengiriman cepat..,5,pengiriman cepat,positif
"kenapa tokped sekarang sistemnya jelek banget ya? saya mau ganti quantity keypednya suka naik turun sendiri, belum selesai ketik qty angka jadi 0 orderan lagi hilang, di tambah lagi qty barang di keranjang gak bisa lebih dari 800 kalo orderan sudah 800 yang di keranjang otomatis hilang,",2,tokped sistemnya jelek banget ya ganti quantity keypednya suka turun selesai ketik qty angka orderan hilang qty barang keranjang gak kalo orderan keranjang otomatis hilang,negatif
"perbaiki vitur aktivasi pembayaran lewat dana, saya dari semalem aktifvasi dana malah eror terus, ( eror di rumah tokped utama kami akan memebereskannya harap kembali lagi nanti ), kaya gitu terus etdah perbaiki cepat saya mau belanja nih di tokped",3,perbaiki vitur aktivasi pembayaran dana semalem aktifvasi dana eror eror rumah tokped utama memebereskannya harap kaya gitu etdah perbaiki cepat belanja nih tokped,netral
"aku pesen barang dari 3 hari lalu masih diproses terus , padahal 1 kota , tapi gapaapa dehh , promonya jg banyakk",3,pesen barang diproses kota gapaapa dehh promonya jg banyakk,netral
"cuma kurang 1 kurang map,kalau sedang dikirim gak ada map-nya,jadi saya gak tahu kalau paketnya dimana,cuma ada tulisan doang",4,map dikirim gak map nya gak paketnya dimana tulisan doang,positif
ok,5,ok,positif
"Tokopedia Emang ok, saran aja nih klu bisa jangan terima seler abal2",5,tokopedia emang ok saran aja nih klu terima seler abal,positif
ok,5,ok,positif
"Pelayanan belum memuaskan, tetapi cukup membantu.",4,pelayanan memuaskan membantu,positif
alhamdulillah.. di kasi tau temen kalo belanja di tokped seruu abis.. banyak promonyam. murah2 harganya.. juga gmpang bgt pake apk nya.. cuman ya itu.. masih dikit yg ngasi ulasan..,5,alhamdulillah kasi tau temen kalo belanja tokped seruu abis promonyam murah harganya gmpang bgt pake apk nya cuman ya dikit yg ngasi ulasan,positif
Alhamdulillah dpt diskon gratis ongkir harga murah semoga lancar terus,5,alhamdulillah dpt diskon gratis ongkir harga murah semoga lancar,positif
saran toko yg nda aktif segera di blokir aja. sangat mengganggu,3,saran toko yg nda aktif blokir aja mengganggu,netral
puas banget belanja disini,4,puas banget belanja,positif
chat bantuan Tokopedia gak membantu sama sekali. 3 kali saya mengajukan pembatalan pemesanan selama pemakaian karna liat penjualnya tidak responsif setelah saya melakukan pembayaran dan karna khawatir dengan keamanan packing toko tsb. Tapi apa? tetap dikirim barangnya dengan waktu yang cukup lama mungkin karna toko bermasalah dan akhirnya kecewa berat karna ada barang yang reject. Saya juga tidak dapat pengembalian dana dan saya sudah lelah karna laporan saya hanya ditanggapi oleh bot tokped,3,chat bantuan tokopedia gak membantu kali mengajukan pembatalan pemesanan pemakaian karna liat penjualnya responsif pembayaran karna khawatir keamanan packing toko tsb dikirim barangnya karna toko bermasalah kecewa berat karna barang reject pengembalian dana lelah karna laporan ditanggapi bot tokped,netral
mantap,5,mantap,positif
Berisi tawaran horoskop (Perdukunan/ Kesyirikan),2,berisi tawaran horoskop perdukunan kesyirikan,negatif
sangat baik,5,,positif
terlalu mahal,2,mahal,negatif
keren,5,keren,positif
"saya kalo mengedit no hp email atau menutup akun kok lama sekali nunggu 1 hari kok gk login2 ke pengaturannya, ini gimana sih. note saya mau sedikit mengedit karna no nya udah gk aktif",2,kalo mengedit no hp email menutup akun nunggu gk login pengaturannya gimana sih note mengedit karna no nya udah gk aktif,negatif
mantap terpercaya bagus,5,mantap terpercaya bagus,positif
"cs tokopedia lamban gak bales komplain seharian lebih,percuma ada fiturnya kalo ga berguna dan gak di layani",1,cs tokopedia lamban gak bales komplain seharian fiturnya kalo ga berguna gak layani,negatif
olshop simple gak kaya sebelah ribet,5,olshop simple gak kaya sebelah ribet,positif
saya pada bulan Maret kena sedot saldo dana saya mengatasnamakan Tokopedia mohon bantuannya,5,maret kena sedot saldo dana mengatasnamakan tokopedia mohon bantuannya,positif
mudah ga ribet,5,mudah ga ribet,positif
"Tokopedia retur padahal konsumen sudah kena tipu penjual nakal, tapi pihak Tokopedia tidak bisa memberikan hasil yg memuaskan konsumen, padahal saat retur sudah disertai video unboxing. keputusan di tangan penjual , pihak Tokopedia tidak memiliki wewenang sama sekali toko gelora56, promo minyak goreng kemasan 2 liter sebanyak 6 buah harga Rp 100.300 yg datang ke konsumen sisir dibungkus bubble wrap dengan tulisan id di bungkus paket nominal 22.000 ,isi paket barang2 merk sunco BLOKIR Tokopedia",1,tokopedia retur konsumen kena tipu penjual nakal tokopedia hasil yg memuaskan konsumen retur disertai video unboxing keputusan tangan penjual tokopedia memiliki wewenang toko gelora promo minyak goreng kemasan liter buah harga rp yg konsumen sisir dibungkus bubble wrap tulisan id bungkus paket nominal isi paket barang merk sunco blokir tokopedia,negatif
"Gila makin mahal, ongkir ngga masuk akal aplikasi mau bangkrut",1,gila mahal ongkir ngga masuk akal aplikasi bangkrut,negatif
"kurir lama, cuma dari Tangerang ke jakarta butuh waktu 7 hari gila mening di plafrom lain aja kecewa",1,kurir tangerang jakarta butuh gila mening plafrom aja kecewa,negatif
sekarang jarang diskon,2,jarang diskon,negatif
"makin sudah nyari barang , ketik apa yang muncul malah gak ada hubungan dengan barang yang di cari",1,nyari barang ketik muncul gak hubungan barang cari,negatif
cepat akurat,5,cepat akurat,positif
"tolong lah, keterangan barang bisa cod tapi pas di CO, malah only transfer 😑. logika lah, sistempencarian cod busuk",3,tolong keterangan barang cod pas co only transfer logika sistempencarian cod busuk,netral
"serius nih tokped udah pelit? masa iya pengguna lama tidak mendapatkan voucher belanja 1 pun kecuali voucher tagihan? trus kalau mau banyak voucher harus langganan dulu yang sebulan 30K,yakali orang orang tiap minggu belanja di tokped... makin lama tokped makin aneh serius",1,serius nih tokped udah pelit iya pengguna voucher belanja kecuali voucher tagihan trus voucher langganan sebulan k yakali orang orang minggu belanja tokped tokped aneh serius,negatif
"apk gjls pengguna baru gd promo ttp mahal bahkan ongkir mahal, trs jg gbs sistem cod. pdhl di gempur apk lbh yg berkualitas tp ini bnr"" gatau deh nyesel download",1,apk gjls pengguna gd promo ttp mahal ongkir mahal trs jg gbs sistem cod pdhl gempur apk lbh yg berkualitas tp bnr gatau deh nyesel download,negatif
"Kocak kocak, makin ksini makin terpuruk nih aplikasi mana peling voc lagi. Mending tutup aja paling bener",1,kocak kocak ksini terpuruk nih aplikasi peling voc mending tutup aja bener,negatif
"order dr tgl 16 juni sampai sekarang tgl 7juli barang blm datang dan pihak tokpec sama sekali tidak ada tanggung jawab, sementara tidak bisa chat langsung sama CS, CS NYA SISTEM Hati² untuk teman2, Untuk keluhan bisa di cek di IG Tokped care atw IG Tokped resmi lainnya , keluhan bgt banyak jg sama sekali ngk ada yg di balas",1,order dr tgl juni tgl juli barang blm tokpec tanggung chat langsung cs cs nya sistem hati teman keluhan cek ig tokped care atw ig tokped resmi keluhan bgt jg ngk yg balas,negatif
mantap. terimakasih,5,mantap terimakasih,positif
bgus,4,bgus,positif
"yang di cari barang apa yang keluar barang apa aplikasi yang paling bikin orang emosi sumpah terkadang bikin hp melayang saking emosinya,ketik pencarian yang di cari barang apa yang muncul apa,menyebalkan banget ini aplikasi",1,cari barang barang aplikasi bikin orang emosi sumpah terkadang bikin hp melayang saking emosinya ketik pencarian cari barang muncul menyebalkan banget aplikasi,negatif
kenapa jadi ribet sekarang mau pesan BRG,1,ribet pesan brg,negatif
"toko shpe online nya d konekin ke tiktok bikin ribet, ngatur ini itu harus k tiktok, giblog",1,toko shpe online nya d konekin tiktok bikin ribet ngatur k tiktok giblog,negatif
good,5,good,positif
"bagus plc, ini make akun ibu aku malah dapet banyak promoo",5,bagus plc make akun dapet promoo,positif
"variasi pembayaran banyak, bisa pembayaran pakai ovo juga. memudahkan pembeli👍",5,variasi pembayaran pembayaran pakai ovo memudahkan pembeli,positif
kren sangat baik untuk membantu usaha,5,kren membantu usaha,positif
👍 mantap,5,mantap,positif
pengiriman paling lambat ga kayak toko Oren sama biru ini toko paling lalai pengiriman banyak di tunda tunda baru pertama kali belanja online ke gini duh parah,1,pengiriman lambat ga kayak toko oren biru toko lalai pengiriman tunda tunda kali belanja online gini duh parah,negatif
mantap,5,mantap,positif
bagus,4,bagus,positif
aplikasi nya sekarang ga ada promo ga kaya dulu banyak promo,1,aplikasi nya ga promo ga kaya promo,negatif
bagus,5,bagus,positif
"blom pernah belanja sih,cuman kurang puas liatin gambar nya lelet banget kebuka",2,blom belanja sih cuman puas liatin gambar nya lelet banget kebuka,negatif
"pengiriman paket nya sering melewati estimasi yang diberikan, sehingga kami semakin lama menunggu",3,pengiriman paket nya melewati estimasi menunggu,netral
good,5,good,positif
"aplikasi bagus,sering "" kasih gratis ongkir😁😁😁",5,aplikasi bagus kasih gratis ongkir,positif
sangat wow,5,wow,positif
bli barng 2 kli d aplikasi ini barang elektronik hrganya cukup mahal barang gk nyampe kurir mtoin pint rumah aja padahal barang gk ada dan waktibitu sy ada d rmh kacu pokoke,1,bli barng kli d aplikasi barang elektronik hrganya mahal barang gk nyampe kurir mtoin pint rumah aja barang gk waktibitu sy d rmh kacu pokoke,negatif
"saya suka ui nya. tapi kalau penjual banyak yang pindah, yaa ikut pindah. kalau ada aplikasi yang lebih murah dan jelas ngapain setia sama aplikasi yang udah kaga jelas. bikin rugi semua udah lama pilih2 barang! dapet ,stok habis. payah!!!",1,suka ui nya penjual pindah yaa pindah aplikasi murah ngapain setia aplikasi udah kaga bikin rugi udah pilih barang dapet stok habis payah,negatif
bagus sih cmn kok pda mahal ongkir ya gk kek dulu prtama pake,4,bagus sih cmn pda mahal ongkir ya gk kek prtama pake,positif
sangat mengecewakan dan buruk mereka pelindung para penjual penipu hak pembeli TDK ada SDH berkali kali komplain dan bbrp kali transaksi pelayanan tetap mengutamakan PENJUAL dr pd pembeli bukti sgt byk tetap aja eeekkk,1,mengecewakan buruk pelindung penjual penipu hak pembeli tdk sdh berkali kali komplain bbrp kali transaksi pelayanan mengutamakan penjual dr pd pembeli bukti sgt byk aja eeekkk,negatif
"apk ini kekurangan beberapa fitur. salah satunya: jika pesanan terjadi kendala pembeli bisa membuat laporan ke cs servic, lokasi alamat tidak ada gambar seperti di gogle maps jadi kita bisa tahu di mana lokasi paketnya berada, terus yang paling penting saat ingin membuka apk tokopedia kadang sering harus buat sevikasi pin tokopedia ketika ingin membuka tokopedia. Saran saya itu semua harus diperbaiki atau setidaknya di update lagi. Tapi setelah update jangan mucul masalah lagi.",3,apk kekurangan fitur salah satunya pesanan kendala pembeli laporan cs servic lokasi alamat gambar gogle maps lokasi paketnya membuka apk tokopedia kadang sevikasi pin tokopedia membuka tokopedia saran diperbaiki update update mucul,netral
"Juli 2025 Saya Kecewa Dengan Tokopedia, Pembelian Barang Minyak Goreng Dapatnya cash HP Penipuan Tapi, Kurir JNT Sudah Di Konfirmasi Sebelum Barang Di Kirim Minta Retur Tidak Mau Retur, Akhir Retur Apk Dan Tidak Di Pick Up Selama 4 Hari Akhir Kirim Ke Kantor JNT, Di JNT Jombang Ditolak Tidak Menerima Retur Akhirnya Ke JNT Kediri. Masa Iya Merepotkan Pembeli Segitunya. Komplain Ke CS Tidak Memberikan Solusi Yang Berarti. Pokoknya Bikin Pusing. Dan Saya Putuskan Untuk Berhenti Mengunakan Tokopedia",1,juli kecewa tokopedia pembelian barang minyak goreng dapatnya cash hp penipuan kurir jnt konfirmasi barang kirim retur retur retur apk pick up kirim kantor jnt jnt jombang ditolak menerima retur jnt kediri iya merepotkan pembeli segitunya komplain cs solusi pokoknya bikin pusing putuskan berhenti mengunakan tokopedia,negatif
mksih,5,mksih,positif
Recommend,5,recommend,positif
ok,3,ok,netral
"setelah integrasi.. dengan tiktok jadi semakin buruk,, upload produk tidak bisa.",1,integrasi tiktok buruk upload produk,negatif
"kurang membantu masalah retur balik, kalau ada penjual nakal, langsung di blacklis aj, expedisi yg TDK bisa kerjasama jangan di pakai, diskon sekarang aneh, kalau qty barang di gandakan, malah ga dpt diskon, ya ke depanny lebih baik LG tokped, thanks",1,membantu retur penjual nakal langsung blacklis aj expedisi yg tdk kerjasama pakai diskon aneh qty barang gandakan ga dpt diskon ya depanny lg tokped thanks,negatif
"alih alih pembatalan otomatis jika belum di proses. toko malah bermain dengan barang kiriman ""GAGAL PICKUP PAKET KARNA PENGIRIM SEDANG MEMPERSIAPKAN PAKET"" pesen tanggal 3 sampai tanggal 6 PAKET BELOM TERKIRIM!!!!!!!!! DAN TIDAK ADA PEMBATALAN!!!!!!!!!!!!!!!",1,alih alih pembatalan otomatis proses toko bermain barang kiriman gagal pickup paket karna pengirim paket pesen tanggal tanggal paket belom terkirim pembatalan,negatif
"sejak dipegang tiktok, tokopedia ini sengaja di error kan pas checkout, jadi halaman pembayaran kalau tidak error ya nge blank putih, setelah di tutup dan dibuka lagi harga sudah berubah jadi normal tidak promo lagi, itu kenapa saya sebut sengaja di error kan sama mereka",1,dipegang tiktok tokopedia sengaja error pas checkout halaman pembayaran error ya nge blank putih tutup dibuka harga berubah normal promo sengaja error,negatif
"makin kesini kok makin tidak baik sistem tokopedia ini. saya ada pembelian di Toko baju...toko tsb kirim salah size, dan toko tsb mau jika barang tsb diretur.baiklah saya retur krna size salah, sdh ada jadwal pengambilan paket dr kurir tokped, eeh sampai 4hari tdk ada satupun kurir yg dtg utk ambil paket yg saya retur, hasilnya pesanan terselesaikan otomatis karena sy tdk mengirim retur barang.pdhl paket sdh siap diambil, sdh keluar no invoice pengiriman jg tp kurir tak kunjung dtg.",3,kesini sistem tokopedia pembelian toko baju toko tsb kirim salah size toko tsb barang tsb diretur baiklah retur krna size salah sdh jadwal pengambilan paket dr kurir tokped eeh tdk satupun kurir yg dtg utk ambil paket yg retur hasilnya pesanan terselesaikan otomatis sy tdk mengirim retur barang pdhl paket sdh diambil sdh no invoice pengiriman jg tp kurir kunjung dtg,netral
Tokopedia bagus banget ya barang nya oke deh,5,tokopedia bagus banget ya barang nya oke deh,positif
"TERKAIT DISKON ATAU CASHBACK SAYA TIDAK PERNAH MEMPERMASALAHKAN WALAUPUN TIDAK PERNAH DAPAT, NAMUN KEBIJAKAN UNTUK PEMILIHAN DAN PENERAPAN PERATURAN KURIR SANGAT BURUK! SEHINGGA KURIR SEENAKNYA SAJA MENGAMBIL BARANG PEMBELI, TIDAK ADA TINDAKAN ATAU PERATURAN YANG TEGAS! JIKA KURIR TIDAK MELAKUKAN PEKERJAAN SESUAI SOP SEHARUSNYA DIKENAKAN SANKSI YANG BERAT,. DAN KEBIJAKAN REFUND DAN KOMPLAIN BURUK SEKALI, PEMBELI SELALU KALAH BANDING WALAUPUN PEMBELI DIPOSISI YANG BENAR,.",1,terkait diskon cashback mempermasalahkan kebijakan pemilihan penerapan peraturan kurir buruk kurir mengambil barang pembeli tindakan peraturan kurir pekerjaan sesuai sop dikenakan sanksi berat kebijakan refund komplain buruk pembeli kalah banding pembeli diposisi,negatif
kenapa semua toko kalau di tanya barangnya ready kak di jawab ready kalau udah CO gk segera di kirim kok jadi lelet gitu sekarang,1,toko barangnya ready kak ready udah co gk kirim lelet gitu,negatif
"barang ok, harga ok, satu saja kelemahan belanja disini pengirimannya apalagi klo kurirnya ""silemot"", super luuaaaamaaa banget, pengiriman dari dan ke sekitar bandung bisa nyampe 6 hari nyaris seminggu 😂😂 ...tolonglah perbaiki hal ini...dulu saya lebih sering belanja di toko ijo dari toko oren, sekarang terbalik",2,barang ok harga ok kelemahan belanja pengirimannya klo kurirnya silemot super luuaaaamaaa banget pengiriman bandung nyampe seminggu tolonglah perbaiki belanja toko ijo toko oren terbalik,negatif
mantep,5,mantep,positif
yg tepercaya,5,yg tepercaya,positif
"Penipuan iming iming tulisan cashback tapi gamasuk masuk cashback masuk kemana gatau. Tolong ya jumlah transaksi pertama cashback 30rb dan transaksi ke dua cashback 20rb. Tolong itu masuk kemana, pesanan sudah saya terima dan sesuai.",1,penipuan iming iming tulisan cashback gamasuk masuk cashback masuk kemana gatau tolong ya transaksi cashback rb transaksi cashback rb tolong masuk kemana pesanan terima sesuai,negatif
mantap,4,mantap,positif
"data saya bocor, ada yg mencuri foto profil saya namun saya tidak bisa menghapus atau edit foto profil saya. Saya juga tidak bisa hapus akun (selalu dapat message error saat edit foto profil dan hapus akun). Hati-hati Tokopedia yg skrng bukan seperti yg dulu, rating tinggi oleh orang lain belum tentu itu rating yg otentik dari pengguna.",1,data bocor yg mencuri foto profil menghapus edit foto profil hapus akun message error edit foto profil hapus akun hati hati tokopedia yg skrng yg rating orang rating yg otentik pengguna,negatif
gak bisa check out waktu pake voucher diskon. error (3) vouchernya menyesatkan... 😀,1,gak check out pake voucher diskon error vouchernya menyesatkan,negatif
baguss..,5,baguss,positif
pelayanan sangat baik,5,pelayanan,positif
oke,5,oke,positif
"lama bgt sampe nya paket gw, gw saranin pake lazada aj lebih enak klo ngasih info soal posisi paket nya udh sampe mana aja",1,bgt sampe nya paket gw gw saranin pake lazada aj enak klo ngasih info posisi paket nya udh sampe aja,negatif
